c5e49f34-d061-4298-ba62-4dd164a5cf01,Human observation
b9cb81ce-e292-49ba-8db4-5b90e1117b65,Human observation
f69d778a-7e07-4f70-8b86-8f18f535ff13,Human observation
340628d0-7bda-4aae-ab2f-4d94b9b29160,Human observation
0b108f0d-2a44-4f78-b1c3-6ede6d2f3623,Human observation
ff49b075-87fd-49bc-8d03-10f0b9e4697f,Human observation
4603b25a-7e59-4e50-b040-111716ddd71e,Human observation
1ba07af9-132b-4990-97b7-4096faf2b4f1,Human observation
d6e66d02-cced-4966-b72d-c75a31cd8478,Preserved specimen
80a8764e-820b-49f3-96d8-8622c55283d4,Preserved specimen
